,reference_code,pmid,doi,comment,Language,Volume,Issue,Page,Journal,Abstract,Date,Authors
10,00TEW/DAV,,10.1006/jcht.2000.0677,,-,-,-,-,-,-,-,-
11,00TEW/GOL,,10.1006/jcht.2000.0686,,-,-,-,-,-,-,-,-
12,00WU/FEN,,10.1021/ja992286h,,-,-,-,-,-,-,-,-
13,00ZHE/BLA,10736170.0,10.1021/bi992676g,,['eng'],39,13,3708-17,Biochemistry,"Ketopantoate reductase (EC 1.1.1.169) catalyzes the NADPH-dependent reduction of alpha-ketopantoate to form D-(-)-pantoate in the pantothenate/coenzyme A biosynthetic pathway. The enzyme encoded by the panE gene from E. coli K12 was overexpressed and purified to homogeneity. The native enzyme exists in solution as a monomer with a molecular mass of 34 000 Da. The steady-state initial velocity and product inhibition patterns are consistent with an ordered sequential kinetic mechanism in which NADPH binding is followed by ketopantoate binding, and pantoate release precedes NADP(+) release. The pH dependence of the kinetic parameters V and V/K for substrates in both the forward and reverse reactions suggests the involvement of a single general acid/base in the catalytic mechanism. An enzyme group exhibiting a pK value of 8.4 +/- 0.2 functions as a general acid in the direction of the ketopantoate reduction, while an enzyme group exhibiting a pK value of 7.8 +/- 0.2 serves as a general base in the direction of pantoate oxidation. The stereospecific transfer of the pro-S hydrogen atom of NADPH to the C-2 position of ketopantoate was demonstrated by (1)H NMR spectroscopy. Primary deuterium kinetic isotope effects of 1.3 and 1.5 on V(for) and V/K(NADPH), respectively, and 2.1 and 1.3 on V(rev) and V/K(HP), respectively, suggest that hydride transfer is not rate-limiting in catalysis. Solvent kinetic isotope effects of 1.3 on both V(for) and V/K(KP), and 1.4 and 1.5 on V(rev) and V/K(HP), respectively, support this conclusion. The apparent equilibrium constant, K(eq)', of 676 at pH 7.5 and the standard free energy change, DeltaG, of -14 kcal/mol suggest that ketopantoate reductase reaction is very favorable in the physiologically important direction of pantoate formation.",Apr 2000,"R Zheng, J S Blanchard"
14,01TEW/BUN,,10.1016/S1381-1177(01)00016-9,,-,-,-,-,-,-,-,-
15,01TEW/KIS,,10.1006/jcht.2001.0862,,-,-,-,-,-,-,-,-
16,01TIS/IHL,,,,-,-,-,-,-,-,-,-
17,02DOB/HIT,11986306.0,10.1074/jbc.M111422200,,['eng'],277,30,27176-82,The Journal of biological chemistry,"The effect of temperature, pH, and free [Mg(2+)] on the apparent equilibrium constant of pyruvate kinase (phosphoenol transphosphorylase) (EC ) was investigated. The apparent equilibrium constant, K', for the biochemical reaction P-enolpyruvate + ADP = ATP + Pyr was defined as K' = [ATP][Pyr]/[ADP][P-enolpyruvate], where each reactant represents the sum of all the ionic and metal complexed species in M. The K' at pH 7.0, 1.0 mm free Mg(2+) and I of 0.25 m was 3.89 x 10(4) (n = 8) at 25 degrees C. The standard apparent enthalpy (DeltaH' degrees ) for the biochemical reaction was -4.31 kJmol(-1) in the direction of ATP formation. The corresponding standard apparent entropy (DeltaS' degrees ) was +73.4 J K(-1) mol(-1). The DeltaH degrees and DeltaS degrees values for the reference reaction, P-enolpyruvate(3-) + ADP(3-) + H(+) = ATP(4-) + Pyr(1-), were -6.43 kJmol(-1) and +180 J K(-1) mol(-1), respectively (5 to 38 degrees C). We examined further the mass action ratio in rat heart and skeletal muscle at rest and found that the pyruvate kinase reaction in vivo was close to equilibrium i.e. within a factor of about 3 to 6 of K' in the direction of ATP at the same pH, free [Mg(2+)], and T. We conclude that the pyruvate kinase reaction may be reversed under some conditions in vivo, a finding that challenges the long held dogma that the reaction is displaced far from equilibrium.",Jul 2002,"Geoffrey P Dobson, Sam Hitchins, Walter E Teague"
18,02FLO/HAL,12001171.0,10.1002/bit.10260,,['eng'],78,7,795-801,Biotechnology and bioengineering,"A kinetic model derived from the ping-pong bi-bi reversible mechanism is proposed to described the acylation of glucose by lauric acid in 2-methyl 2-butanol mediated by Candida antarctica lipase at 60 degrees C. The model accounts for the effect of all four compounds in the reaction mixture, namely lauric acid, glucose, water, and lauroyl glucose ester. A supersaturated glucose solution was used to avoid limitations by glucose dissolution rate. Experiments with varied initial water content were performed to determine the effect of water on the initial reaction rate. The full time course of ester formation is described by five parameters: (a) three parameters evaluated from initial rate measurements; (b) the equilibrium constant, independently evaluated; and (c) one extra parameter fitted to the progress curve of ester formation. This reduced form of a full reversible kinetic model based on the ping-pong bi-bi mechanism is able to describe the complete course of lauroyl glucose ester synthesis. The proposed model provides a good fit for the experimental results.",Jun 2002,"Maria Victoria Flores, Peter J Halling"
19,02ISO/KOI,,10.1016/S1389-1723(02)80173-6,,-,-,-,-,-,-,-,-
20,02KIM/BAK,12107130.0,10.1128/JB.184.15.4134-4140.2002,,['eng'],184,15,4134-40,Journal of bacteriology,"The 2-aminoethylphosphonate transaminase (AEPT; the phnW gene product) of the Salmonella enterica serovar Typhimurium 2-aminoethylphosphonate (AEP) degradation pathway catalyzes the reversible reaction of AEP and pyruvate to form phosphonoacetaldehyde (P-Ald) and L-alanine (L-Ala). Here, we describe the purification and characterization of recombinant AEPT. pH rate profiles (log V(m) and log V(m)/K(m) versus pH) revealed a pH optimum of 8.5. At pH 8.5, K(eq) is equal to 0.5 and the k(cat) values of the forward and reverse reactions are 7 and 9 s(-1), respectively. The K(m) for AEP is 1.11 +/- 0.03 mM; for pyruvate it is 0.15 +/- 0.02 mM, for P-Ald it is 0.09 +/- 0.01 mM, and for L-Ala it is 1.4 +/- 0.03 mM. Substrate specificity tests revealed a high degree of discrimination, indicating a singular physiological role for the transaminase in AEP degradation. The 40-kDa subunit of the homodimeric enzyme is homologous to other members of the pyridoxalphosphate-dependent amino acid transaminase superfamily. Catalytic residues conserved within well-characterized members are also conserved within the seven known AEPT sequences. Site-directed mutagenesis demonstrated the importance of three selected residues (Asp168, Lys194, and Arg340) in AEPT catalysis.",Aug 2002,"Alexander D Kim, Angela S Baker, Debra Dunaway-Mariano, W W Metcalf, B L Wanner, Brian M Martin"
21,02NES/ZHO,12133002.0,10.1042/bj20020551,,['eng'],367,Pt 3,587-99,The Biochemical journal,"CHO 2, encoding human sterol 8-isomerase (hSI), was introduced into plasmids pYX213 or pET23a. The resulting native protein was overexpressed in erg 2 yeast cells and purified to apparent homogeneity. The enzyme exhibited a K (m) of 50 microM and a turnover number of 0.423 s(-1) for zymosterol, an isoelectric point of 7.70, a native molecular mass of 107000 Da and was tetrameric. The structural features of zymosterol provided optimal substrate acceptability. Biomimetic studies of acid-catalysed isomerization of zymosterol resulted in formation of cholest-8(14)-enol, whereas the enzyme-generated product was a Delta(7)-sterol, suggesting absolute stereochemical control of the reaction by hSI. Using (2)H(2)O and either zymosterol or cholesta-7,24-dienol as substrates, the reversibility of the reaction was confirmed by GC-MS of the deuterated products. The positional specific incorporation of deuterium at C-9alpha was established by a combination of (1)H- and (13)C-NMR analyses of the enzyme-generated cholesta-7,24-dienol. Kinetic analyses indicated the reaction equilibrium ( K (eq)=14; DeltaG(o')=-6.5 kJ/mol) for double-bond isomerization favoured the forward direction, Delta(8) to Delta(7). Treatment of hSI with different high-energy intermediate analogues produced the following dissociation constants ( K (i)): emopamil (2 microM)=tamoxifen (1 microM)=tridemorph (1 microM)<25-azacholesterol (21 microM) <ketoconazole (156 microM)<cholesterol (620 microM). The results were consistent with stereoelectronic features of isomerization and support the general model for Delta(7)-sterol formation in cholesterol synthesis.",Nov 2002,"W David Nes, Wenxu Zhou, Allen L Dennis, Haoxia Li, Zhonghua Jia, Richard A Keith, Timothy M Piser, Stephen T Furlong"
22,02TEW/HAW,,10.1016/S0021-9614(02)00226-4,,-,-,-,-,-,-,-,-
23,02VUO/PAS,,10.1080/10242420290029463,,-,-,-,-,-,-,-,-
24,03BIA,12611889.0,10.1074/jbc.M211103200,,['eng'],278,21,18709-13,The Journal of biological chemistry,"The change in enthalpy and rate constants for the reactions of yeast hexokinase isozymes, PI (Hxk1) and PII (Hxk2), was determined at pH 7.6 and 25 degrees C by isothermal titration calorimetry. The reactions were done in five buffer systems with enthalpy of protonation varying from -1.22 kcal/mol (phosphate) to -11.51 kcal/mol (Tris), allowing the determination of the number of protons released during glucose phosphorylation. The reaction is exothermic for both isozymes with a small, but significant (p < 0.0001), difference in the enthalpy of reaction (Delta HR), with an Delta HR of -5.1 +/- 0.2 (mean +/- S.D.) kcal/mol for Hxk1, and an Delta HR of -3.3 +/- 0.3 (mean +/- S.D.) kcal/mol for Hxk2. The Km for ATP determined by ITC was very similar to those reported in the literature for both isozymes. The effect of NaCl and KCl, from 0 to 200 mM, showed that although the rate of reaction decreases with increasing ionic strength, no change in the Delta HR was observed suggesting an entropic nature for the ionic strength. The differences in Delta HR obtained here for both isozymes strongly suggest that, besides glucose phosphorylation, another side reaction such as ATP hydrolysis and/or enzyme phosphorylation is taking place.",May 2003,M Lucia Bianconi
25,03GOL/TEW,,10.1016/j.jct.2003.08.002,,-,-,-,-,-,-,-,-
26,03KIN,12573288.0,10.1016/S0003-9861(02)00692-6,,['eng'],410,2,280-6,Archives of biochemistry and biophysics,"The apparent equilibrium constant of the biochemical reaction, 2-propanol+NADP(ox) = acetone+NADP(red), was determined at I = 0.25 M over a wide range of pH (5.63 to 8.02) and temperature (5 to 40 degrees C). The reaction was catalyzed by an NADP-dependent alcohol dehydrogenase. The results were used to calculate thermodynamic quantities for the chemical (ionic) reference reaction: 2-propanol+NADP(ox)(3-) = acetone+NADP(red)(4-)+H(+). The thermodynamic quantities for this reference reaction are as follows: equilibrium constant K = (5.98+/-0.46) x 10(-10); standard molar Gibbs energy change Delta(r)G(0) = (52.65+/-0.19) kJmol(-1); standard molar enthalpy change Delta(r)H(0) = (38.9+/-0.6) kJmol(-1); and standard molar entropy change Delta(r)S(0) = -(46.1+/-2.2)J K(-1)mol(-1). All of these results pertain to 25 degrees C (298.15 K) and I = 0. The results also lead, in conjunction with tabulated thermodynamic quantities, to the standard electromotive force E(0) = -0.140 V for the reduction of NADP(ox)(3-) to NADP(red)(4-).",Feb 2003,M Todd King
27,03KOB/FUR,,10.1016/S1381-1177(03)00109-7,,-,-,-,-,-,-,-,-
28,03MER/WOO,12805358.0,10.1074/jbc.M303661200,,['eng'],278,35,32771-7,The Journal of biological chemistry,"A gene encoding for arabinose 5-phosphate isomerase (API), which catalyzes the interconversion of d-ribulose 5-phosphate (Ru5P) and d-arabinose 5-phosphate (A5P), has been identified from the genome of Escherichia coli K-12. API is the first enzyme in the biosynthesis of 3-deoxy-d-manno-octulosonate (KDO), a sugar moiety located in the lipopolysaccharide layer of most Gram-negative bacteria. The API gene yrbH is located next to the recently identified specific KDO 8-P phosphatase gene, yrbI. The 328-amino acid open reading frame yrbH was cloned, overexpressed, and characterized. The purified recombinant enzyme is a tetramer and is sensitive to inhibition by zinc cations. API has optimal activity at pH 8.4 and catalytic residues with estimated pKa values of 6.55 +/- 0.04 and 10.34 +/- 0.07. The enzyme is specific for A5P and Ru5P, with apparent Km values of 0.61 +/- 0.06 mm for A5P and 0.35 +/- 0.08 mm for Ru5P. The apparent kcat in the A5P to Ru5P direction is 157 +/- 4 s-1, and in the Ru5P to A5P direction it is 255 +/- 16 s-1. The value of Keq (Ru5P/A5P) is 0.50 +/- 0.06. Homology searches of the E. coli genome suggest yrbH may be one of multiple genes that encode proteins with API activity.",Aug 2003,"Timothy C Meredith, Ronald W Woodard"
29,03RAN/VAN,12568939.0,10.1016/S0301-4622(02)00254-5,,['eng'],103,2,169-77,Biophysical chemistry,"Two decades of research in microgravity have shown that certain biochemical processes can be altered by weightlessness. Approximately 10 years ago, our team, supported by the European Space Agency (ESA) and the Agenzia Spaziale Italiana, started the Effect of Microgravity on Enzyme Catalysis project to test the possibility that the microgravity effect observed at cellular level could be mediated by enzyme reactions. An experiment to study the cleavage reaction catalyzed by isocitrate lyase was flown on the sounding rocket MASER 7, and we found that the kinetic parameters were not altered by microgravity. During the 28th ESA parabolic flight campaign, we had the opportunity to replicate the MASER 7 experiment and to perform a complete steady-state analysis of the isocitrate lyase reaction. This study showed that both in microgravity and in standard g controls the enzyme reaction obeyed the same kinetic mechanism and none of the kinetic parameters, nor the equilibrium constant of the overall reaction were altered. Our results contrast with those of a similar experiment, which was performed during the same parabolic flight campaign, and showed that microgravity increased the affinity of lipoxygenase-1 for linoleic acid. The hypotheses suggested to explain this change effect of the latter were here tested by computer simulation, and appeared to be inconsistent with the experimental outcome.",Jan 2003,"Francesco Ranaldi, Paolo Vanni, Eugenio Giachetti"
30,03TEW/GOL,,10.1016/S0021-9614(03)00111-3,,-,-,-,-,-,-,-,-
31,03TEW/VAN,,10.1016/S1381-1177(02)00120-0,,-,-,-,-,-,-,-,-
32,03WAT/YAM,,10.1016/S1381-1177(03)00102-4,,-,-,-,-,-,-,-,-
33,04DAS/BOM,15322117.0,10.1074/jbc.M408866200,,['eng'],279,44,45613-7,The Journal of biological chemistry,"With yeast-soluble inorganic pyrophosphatase, the heat released during PP(i) hydrolysis was -6.3 kcal/mol regardless of the KCl concentration in the medium. With the membrane-bound pyrophosphatase of corn vacuoles, the heat released varies between -23.5 and -7.5 kcal/mol depending on the KCl concentration in the medium and whether or not a H(+) gradient is formed across the vacuole membranes. The data support the proposal that enzymes are able to handle the energy derived from phosphate compound hydrolysis in such a way as to determine the parcel that is used for work and the fraction that is converted into heat.",Oct 2004,"Wagner S da-Silva, Flavio M Bomfim, Antonio Galina, Leopoldo de Meis"
34,04LI/LI,,10.1002/cjoc.20040220307,,-,-,-,-,-,-,-,-
35,04STO/SCH,15158492.0,10.1016/S0003-2697(04)00219-2,,['eng'],329,2,307-15,Analytical biochemistry,"The kinetics for the isomerization of fructose-6-phosphate to glucose-6-phosphate (F6P --> G6P) by baker's yeast phosphoglucose isomerase (PGI) with regard to k(cat) and K(m) were determined from analysis of differential stopped flow microcalorimeter measurements using the integrated form of the Michaelis-Menten rate equation. Values for K(m) (F6P --> G6P) that were determined at pH 8.0 and ionic strength 0.1M at 293.4, 298.4, 303.4, and 311.5K exhibited a linear dependence on the substrate concentration at each temperature because of the substrate-product equilibrium. The minimum values for K(m) ranged from 2.62+/-0.55 mM at 293.4K to 7.8+/-4.8mM at 311.5K and were the same as the minimum values for the reverse reaction (G6P --> F6P) at 293.4 K and 298.4 K. Minimum values for k(cat) increased with temperature, from 2.78+/-0.34s(-1) at 293.4K to 11.4+/-1.0s(-1) at 311.5K, and for the reverse reaction, G6P --> F6P, from 0.852+/-0.086 s(-1) at 293.4K to 1.46+/-0.06s(-1) at 298.4K. The enzyme efficiency at 311.5K is close to the collision rate for a diffusion-controlled process in solution. The [F6P]/[G6P] equilibrium constants were determined from comparison of the values of k(cat) in both directions and were 0.307+/-0.053 at 293.4K and 0.395+/-0.033 at 298.4K. The heats of reaction in the F6P --> G6P direction increased from -8.96+/-0.26 kJmol(-1) at 311.5K to -8.27+/-0.40 kJmol(-1) at 293.4K, a value in fair agreement with 7.01+/-0.32 kJmol(-1) in the opposite G6P --> F6P direction.",Jun 2004,"Magnus Stödeman, Frederick P Schwarz"
36,04TEW/IHA,,10.1016/j.molcatb.2004.04.005,,-,-,-,-,-,-,-,-
37,05SIR/HUE,,10.1016/j.tca.2004.06.011,,-,-,-,-,-,-,-,-
38,05TEW/GOL,,10.1016/j.jct.2004.11.011,,-,-,-,-,-,-,-,-
39,05TEW/SCH,,10.1016/j.jct.2004.08.002,,-,-,-,-,-,-,-,-
40,06AIR,16427818.0,10.1016/j.bbapap.2005.11.020,,['eng'],1764,2,307-19,Biochimica et biophysica acta,"A kinetic analysis of the arginyl-tRNA synthetase (ArgRS) from Escherichia coli was accomplished with the goal of improving the rate equations so that they correspond more closely to the experimental results. 22 different steady-state kinetic two-ligand experiments were statistically analysed simultaneously. A mechanism and values for the ArgRS constants were found where the average error was only 6.2% and ranged from 2.5 to 11.2% in the different experiments. The mechanism included not only the normal activation and transfer reactions but also an additional step which may be a conformational change after the transfer reaction but before the dissociation of the product Arg-tRNA from the enzyme. The forward rate constants in these four steps were low, 8.3-27 s(-1), but the reverse rate constants of the activation and transfer reactions were considerably higher (230 and 161 s(-1)). Therefore, in the presence of even low concentrations of PP(i) and AMP, the rate limitation occurs at the late steps of the total reaction. AMP increases the rate of the ATP-PP(i) exchange reaction due to the high reverse rate in the transfer reaction. The rate equation obtained was used to calculate the steady-state enzyme intermediate concentrations and rates between the intermediates. Three different Mg2+ binding sites were required to describe the Mg2+ dependence. One of them was the normal binding to ATP and the others to tRNA or enzyme. The measured Mg2+ dependence of the apparent equilibrium constant of the ArgRS reaction was consistent with the Mg2+ dependences of the reaction rates on the rate equation. Chloride inhibits the ArgRS reaction, 160 mM KCl caused a 50% inhibition if the ionic strength was kept constant with K-acetate. KCl strongly affected the K(m)(app) (tRNA) value. A difference was detected in the progress curves between the aminoacylation and ATP-PP(i) exchange rates. When all free tRNA(Arg) had been used from the reaction mixture, the aminoacylation reaction stopped, but the ATP-PP(i) exchange continued at a lowered rate.",Feb 2006,R Kalervo Airas
41,06MCC/ARA,16519510.0,10.1021/bi052232m,,['eng'],45,10,3154-62,Biochemistry,"The X-ray crystal structure of the At5g18200.1 protein has been determined to a nominal resolution of 2.30 A. The structure has a histidine triad (HIT)-like fold containing two distinct HIT-like motifs. The sequence of At5g18200.1 indicates a distant family relationship to the Escherichia coli galactose-1-P uridylyltransferase (GalT): the determined structure of the At5g18200.1 protein confirms this relationship. The At5g18200.1 protein does not demonstrate GalT activity but instead catalyzes adenylyl transfer in the reaction of ADP-glucose with various phosphates. The best acceptor among those evaluated is phosphate itself; thus, the At5g18200.1 enzyme appears to be an ADP-glucose phosphorylase. The enzyme catalyzes the exchange of (14)C between ADP-[(14)C]glucose and glucose-1-P in the absence of phosphate. The steady state kinetics of exchange follows the ping-pong bi-bi kinetic mechanism, with a k(cat) of 4.1 s(-)(1) and K(m) values of 1.4 and 83 microM for ADP-[(14)C]glucose and glucose-1-P, respectively, at pH 8.5 and 25 degrees C. The overall reaction of ADP-glucose with phosphate to produce ADP and glucose-1-P follows ping-pong bi-bi steady state kinetics, with a k(cat) of 2.7 s(-)(1) and K(m) values of 6.9 and 90 microM for ADP-glucose and phosphate, respectively, at pH 8.5 and 25 degrees C. The kinetics are consistent with a double-displacement mechanism that involves a covalent adenylyl-enzyme intermediate. The X-ray crystal structure of this intermediate was determined to 1.83 A resolution and shows the AMP group bonded to His(186). The value of K(eq) in the direction of ADP and glucose-1-P formation is 5.0 at pH 7.0 and 25 degrees C in the absence of a divalent metal ion, and it is 40 in the presence of 1 mM MgCl(2).",Mar 2006,"Jason G McCoy, Abolfazl Arabshahi, Eduard Bitto, Craig A Bingman, Frank J Ruzicka, Perry A Frey, George N Phillips"
42,06ONO/YAN,16616264.0,10.1016/j.phytochem.2006.02.017,,['eng'],67,9,856-60,Phytochemistry,"We demonstrated several kinds of D-amino acids in plant seedlings, and moreover alanine racemase (E.C.5.1.1.1) in alfalfa (Medicago sativa L.) seedlings. This is the first evidence for the presence of amino acid racemase in plant. The enzyme was effectively induced by the addition of L- or D-alanine, and we highly purified the enzyme to show enzymological properties. The enzyme exclusively catalyzed racemization of L- and D-alanine. The K(m) and V(max) values of enzyme for L-alanine were 29.6 x 10(-3) M and 1.02 mol/s/kg, and those for D-alanine are 12.0 x 10(-3) M and 0.44 mol/s/kg, respectively. The K(eq) value was estimated to be about 1 and indicated that the enzyme catalyzes a typical racemization of both enantiomers of alanine. The enzyme was inactivated by hydroxylamine, phenylhydrazine and some other pyridoxal 5'-phosphate enzyme inhibitors. Accordingly, the enzyme required pyridoxal 5'-phosphate as a coenzyme, and enzymologically resembled bacterial alanine racemases studied so far.",May 2006,"Kazutoshi Ono, Kazuki Yanagida, Tadao Oikawa, Tadashi Ogawa, Kenji Soda"
43,06POD/BEL,16884305.0,10.1021/jm060202r,,['eng'],49,16,4937-45,Journal of medicinal chemistry,"Inhibitors of orotidine monophosphate decarboxylase (ODCase) have applications in RNA viral, parasitic, and other infectious diseases. ODCase catalyzes the decarboxylation of orotidine monophosphate (OMP), producing uridine monophosphate (UMP). Novel inhibitors 6-amino-UMP and 6-cyano-UMP were designed on the basis of the substructure volumes in the substrate OMP and in an inhibitor of ODCase, barbituric acid monophosphate, BMP. A new enzyme assay method using isothermal titration calorimetry (ITC) was developed to investigate the inhibition kinetics of ODCase. The reaction rates were measured by monitoring the heat generated during the decarboxylation reaction of orotidine monophosphate. Kinetic parameters (k(cat) = 21 s(-1) and KM = 5 microM) and the molar enthalpy (DeltaH(app) = 5 kcal/mol) were determined for the decarboxylation of the substrate by ODCase. Competitive inhibition of the enzyme was observed and the inhibition constants (Ki) were determined to be 12.4 microM and 29 microM for 6-aza-UMP and 6-cyano-UMP, respectively. 6-Amino-UMP was found to be among the potent inhibitors of ODCase, having an inhibition constant of 840 nM. We reveal here the first inhibitors of ODCase designed by the principles of bioisosterism and a novel method of using isothermal calorimetry for enzyme inhibition studies.",Aug 2006,"Ewa Poduch, Angelica M Bello, Sishi Tang, Masahiro Fujihashi, Emil F Pai, Lakshmi P Kotra"
