,reference_code,pmid,doi,comment,Title,Date,Publisher,License,Type,Volume,Issue,Page,Authors,Language
20,02KIM/BAK,12107130.0,10.1128/JB.184.15.4134-4140.2002,,['The 2-Aminoethylphosphonate-Specific Transaminase of the 2-Aminoethylphosphonate Degradation Pathway'],28.7.2002,American Society for Microbiology,https://journals.asm.org/non-commercial-tdm-license,journal-article,184,15,4134-4140,"Alexander D. Kim, Angela S. Baker, Debra Dunaway-Mariano, W. W. Metcalf, B. L. Wanner, Brian M. Martin",en
21,02NES/ZHO,12133002.0,10.1042/bj20020551,,-,-,-,-,-,-,-,-,-,-
22,02TEW/HAW,,10.1016/S0021-9614(02)00226-4,,['A thermodynamic study of the reactions: {2-dehydro-3-deoxy-d-arabino-heptanoate 7-phosphate(aq)=3-dehydroquinate(aq) + phosphate(aq)} and {3-dehydroquinate(aq)=3-dehydroshikimate(aq)+H2O(l)}'],9.1.2003,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,34,10,1671-1691,"Yadu B. Tewari, Robert N. Goldberg, Alastair R. Hawkins, Heather K. Lamb",en
23,02VUO/PAS,,10.1080/10242420290029463,,-,-,-,-,-,-,-,-,-,-
24,03BIA,12611889.0,10.1074/jbc.M211103200,,['Calorimetric Determination of Thermodynamic Parameters of Reaction Reveals Different Enthalpic Compensations of the Yeast Hexokinase Isozymes'],17.5.2003,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,278,21,18709-18713,M. Lucia Bianconi,en
25,03GOL/TEW,,10.1016/j.jct.2003.08.002,,"['Thermodynamics of the hydrolysis reactions of adenosine 3′,5′-(cyclic)phosphate(aq) and phosphoenolpyruvate(aq); the standard molar formation properties of 3′,5′-(cyclic)phosphate(aq) and phosphoenolpyruvate(aq)']",15.10.2003,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,35,11,1809-1830,"Robert N Goldberg, Yadu B Tewari",en
26,03KIN,12573288.0,10.1016/S0003-9861(02)00692-6,,['Thermodynamics of the reduction of NADP with 2-propanol catalyzed by an NADP-dependent alcohol dehydrogenase'],4.2.2003,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,410,2,280-286,M. Todd King,en
27,03KOB/FUR,,10.1016/S1381-1177(03)00109-7,,-,-,-,-,-,-,-,-,-,-
28,03MER/WOO,12805358.0,10.1074/jbc.M303661200,,['Escherichia coli YrbH Is a D-Arabinose 5-Phosphate Isomerase'],22.8.2003,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,278,35,32771-32777,"Timothy C. Meredith, Ronald W. Woodard",en
29,03RAN/VAN,12568939.0,10.1016/S0301-4622(02)00254-5,,['Enzyme catalysis in microgravity: steady-state kinetic analysis of the isocitrate lyase reaction'],4.2.2003,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,103,2,169-177,"Francesco Ranaldi, Paolo Vanni, Eugenio Giachetti",en
30,03TEW/GOL,,10.1016/S0021-9614(03)00111-3,,['Thermodynamics of the oxidation–reduction reaction {2 glutathionered(aq)+NADPox(aq)=glutathioneox(aq)+NADPred(aq)}'],1.8.2003,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,35,8,1361-1381,"Yadu B. Tewari, Robert N. Goldberg",en
31,03TEW/VAN,,10.1016/S1381-1177(02)00120-0,,['Thermodynamics of the lipase-catalyzed transesterification of 1-phenyl-1-alkanols and butyl acetate in organic solvents'],10.12.2002,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,21,3,123-131,"Yadu B Tewari, David J Vanderah, J.David Rozzell",en
32,03WAT/YAM,,10.1016/S1381-1177(03)00102-4,,"['Occurrence of a unique amino acid racemase in a basidiomycetous mushroom, Lentinus edodes']",16.7.2003,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,23,2-6,379-387,"Akira Watanabe, Shiro Yamaguchi, Koichiro Urabe, Yasuhiko Asada",en
33,04DAS/BOM,15322117.0,10.1074/jbc.M408866200,,['Heat of PPi Hydrolysis Varies Depending on the Enzyme Used'],21.8.2004,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,279,44,45613-45617,"Wagner S. da-Silva, Flavio M. Bomfim, Antonio Galina, Leopoldo de Meis",en
34,04LI/LI,,10.1002/cjoc.20040220307,,['Kinetic Studies on Na<sup>+</sup>/K<sup>+</sup>‐ATP<sub>ase</sub> by Using Thermokinetic Method'],8.9.2010,Wiley,http://onlinelibrary.wiley.com/termsAndConditions#vor,journal-article,22,3,252-255,"Xia Li, Jie Li, Zhi‐Yong Wang, Xiu‐Yin Xie, Xi Yang, Cun‐Xin Wang",en
35,04STO/SCH,15158492.0,10.1016/S0003-2697(04)00219-2,,['Importance of product/reactant equilibration in the kinetics of the phosphoglucose isomerization reaction by differential stopped flow microcalorimetry*1'],26.5.2004,Elsevier BV,http://www.elsevier.com/tdm/userlicense/1.0/,journal-article,329,2,307-315,M STODEMAN,en
36,04TEW/IHA,,10.1016/j.molcatb.2004.04.005,,['A thermodynamic study of the lipase-catalyzed transesterification of benzyl alcohol and butyl acetate in supercritical carbon dioxide media'],3.6.2004,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,30,3-4,131-136,"Yadu B Tewari, Toshihide Ihara, Karen W Phinney, Martin P Mayhew",en
37,05SIR/HUE,,10.1016/j.tca.2004.06.011,,['Thermochemical investigations of hydrolysis of p-nitrophenyl acetate in water–acetontrile mixtures'],31.12.2004,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,426,1-2,1-6,"Vladimir A. Sirotkin, Regina Huettl, Gert Wolf",en
38,05TEW/GOL,,10.1016/j.jct.2004.11.011,,['Thermodynamics of the hydrolysis reactions of nitriles'],19.12.2004,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,37,7,720-728,"Yadu B. Tewari, Robert N. Goldberg",en
39,05TEW/SCH,,10.1016/j.jct.2004.08.002,,['A thermodynamic study of the ketoreductase-catalyzed reduction of 2-alkanones in non-aqueous solvents'],30.9.2004,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,37,1,89-96,"Yadu B. Tewari, Michele M. Schantz, Karen W. Phinney, J. David Rozzell",en
40,06AIR,16427818.0,10.1016/j.bbapap.2005.11.020,,['Analysis of the kinetic mechanism of arginyl-tRNA synthetase'],23.12.2005,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,1764,2,307-319,R. Kalervo Airas,en
41,06MCC/ARA,16519510.0,10.1021/bi052232m,,-,-,-,-,-,-,-,-,-,-
42,06ONO/YAN,16616264.0,10.1016/j.phytochem.2006.02.017,,['Alanine racemase of alfalfa seedlings (Medicago sativa L.): First evidence for the presence of an amino acid racemase in plants'],18.4.2006,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,67,9,856-860,"Kazutoshi Ono, Kazuki Yanagida, Tadao Oikawa, Tadashi Ogawa, Kenji Soda",en
43,06POD/BEL,16884305.0,10.1021/jm060202r,,-,-,-,-,-,-,-,-,-,-
44,06TAN/SUR,16967985.0,10.1021/ja0627702,,-,-,-,-,-,-,-,-,-,-
45,06TEW/KIS,,10.1016/j.jct.2005.12.014,,['A thermodynamic study of ketoreductase-catalyzed reactions 3. Reduction of 1-phenyl-1-alkanones in non-aqueous solvents'],4.3.2006,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,38,10,1165-1171,"Yadu B. Tewari, Nand Kishore, J. David Rozzell, David J. Vanderah, Michele M. Schantz",en
46,06TEW/PHI,,10.1016/j.jct.2005.06.005,,['A thermodynamic study of ketoreductase-catalyzed reactions 2. Reduction of cycloalkanones in non-aqueous solvents'],3.8.2005,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,38,4,388-395,"Yadu B. Tewari, Karen W. Phinney, Joel F. Liebman",en
47,06XU/WES,17002315.0,10.1021/bi0610808,,-,-,-,-,-,-,-,-,-,-
48,07LIN/ALG,17223711.0,10.1021/bi062067q,,-,-,-,-,-,-,-,-,-,-
49,07TEW/KIS,,10.1016/j.jct.2006.10.010,,['Thermodynamics of reactions catalyzed by d-hydantoinase and N-carbamoyl-d-amino acid hydrolase'],29.10.2006,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,39,5,717-728,"Yadu B. Tewari, Nand Kishore, Brian E. Lang, Robert N. Goldberg",en
50,07TEW/LIE,,10.1016/j.jct.2006.12.007,,['A thermodynamic study of ketoreductase-catalyzed reactions 4. Reduction of 2-substituted cyclohexanones in n-hexane'],20.12.2006,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,39,7,1090-1097,"Yadu B. Tewari, Joel F. Liebman, J. David Rozzell, David J. Vanderah, Michele M. Schantz",en
51,26QUA/WOO,16743691.0,10.1042/bj0200545,,-,-,-,-,-,-,-,-,-,-
52,29WOO,16744231.0,10.1042/bj0230472,,-,-,-,-,-,-,-,-,-,-
53,31BOR/SCH,,10.1016/S0021-9258(17)32602-9,,"['THE FREE ENERGY, HEAT, AND ENTROPY OF FORMATION OF l-MALIC ACID']",18.1.2021,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,92,3,559-567,"Henry Borsook, Hermann F. Schott",en
54,34JAC,,,,-,-,-,-,-,-,-,-,-,-
55,34LOH/MEY,,,,-,-,-,-,-,-,-,-,-,-
56,34MEY/LOH,,,,-,-,-,-,-,-,-,-,-,-
57,35AKA,,,,-,-,-,-,-,-,-,-,-,-
58,35JAC/TAP,,,,-,-,-,-,-,-,-,-,-,-
59,35MEY,,,,-,-,-,-,-,-,-,-,-,-
60,35MEY/KIE,,,,-,-,-,-,-,-,-,-,-,-
61,35MEY/KIE2,,,,-,-,-,-,-,-,-,-,-,-
62,35MEY/LOH,,,,-,-,-,-,-,-,-,-,-,-
63,35MEY/SCH,,,,-,-,-,-,-,-,-,-,-,-
64,36EUL/ADL,,10.1515/bchm2.1936.241.6.239,,-,-,-,-,-,-,-,-,-,-
65,36LEH,,,,-,-,-,-,-,-,-,-,-,-
66,36MEY/LOH,,,,-,-,-,-,-,-,-,-,-,-
67,36MEY/SCH,,,,-,-,-,-,-,-,-,-,-,-
68,36VEI,,,,-,-,-,-,-,-,-,-,-,-
69,37ADL/SRE,,10.1515/bchm2.1937.249.1.24,,-,-,-,-,-,-,-,-,-,-
70,37EUL/ADL,,10.1515/bchm2.1937.247.1-2.65,,-,-,-,-,-,-,-,-,-,-
71,37EUL/ADL2,,10.1515/bchm2.1937.249.1.1,,-,-,-,-,-,-,-,-,-,-
72,37EUL/ADL3,,10.1515/bchm2.1937.245.5-6.217,,-,-,-,-,-,-,-,-,-,-
73,37NEG/WUL,,,,-,-,-,-,-,-,-,-,-,-
74,37STU,,10.1021/ja01287a037,,-,-,-,-,-,-,-,-,-,-
75,38EUL/ADL,,10.1515/bchm2.1938.254.2.61,,-,-,-,-,-,-,-,-,-,-
76,38MEY/SCH,,,,-,-,-,-,-,-,-,-,-,-
77,38SCH/HEL,,10.1002/cber.19380710717,,['Desamino‐cozymase'],20.7.2007,Wiley,http://onlinelibrary.wiley.com/termsAndConditions#vor,journal-article,71,7,1471-1479,"Fritz Schlenk, Harry Hellström, Hans v. Euler",en
78,39COH,16747057.0,10.1042/bj0331478,,-,-,-,-,-,-,-,-,-,-
79,40COH,,10.1016/S0021-9258(18)73021-4,,['KINETICS OF TRANSAMINASE ACTIVITY'],6.1.2021,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,136,3,585-601,Philip P. Cohen,en
80,40HER/GOR,16747255.0,10.1042/bj0341108,,-,-,-,-,-,-,-,-,-,-
81,40KRE/SMY,16747248.0,10.1042/bj0341041,,-,-,-,-,-,-,-,-,-,-
82,41UTT/WER,16560478.0,10.1128/jb.42.5.665-676.1941,,['Occurrence of the Aldolase and Isomerase Equilibria in Bacterial Metabolism'],3.1.2020,American Society for Microbiology,https://journals.asm.org/non-commercial-tdm-license,journal-article,42,5,665-676,"M. F. Utter, C. H. Werkman",en
83,41WAR/CHR,,,,-,-,-,-,-,-,-,-,-,-
84,42COL/SUT,,10.1016/S0021-9258(18)72525-8,,['POLYSACCHARIDE SYNTHESIS FROM GLUCOSE BY MEANS OF PURIFIED ENZYMES'],5.1.2021,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,144,2,423-437,"Sidney P. Colowick, Earl W. Sutherland",en
85,42LEN/STR,,,,-,-,-,-,-,-,-,-,-,-
86,43BAN,,,,-,-,-,-,-,-,-,-,-,-
87,43DOU,,10.1016/S0021-9258(18)44907-1,,['STUDIES ON THE PHOSPHOROLYSIS OF SUCROSE'],5.1.2021,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,151,2,351-361,Michael Doudoroff,en
88,43KAL,,10.1016/S0021-9258(18)72325-9,,['THE RÔLE OF MYOKINASE IN TRANSPHOSPHORYLATIONS'],5.1.2021,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,148,1,127-137,Herman M. Kalckar,en
89,43KRE/EGG,16747647.0,10.1042/bj0370334,,-,-,-,-,-,-,-,-,-,-
90,43KUB/OTT,,,,-,-,-,-,-,-,-,-,-,-
91,43MEY/JUN,,10.1016/S0021-9258(18)72218-7,,"['THE EQUILIBRIA OF ISOMERASE AND ALDOLASE, AND THE PROBLEM OF THE PHOSPHORYLATION OF GLYCERALDEHYDE PHOSPHATE']",5.1.2021,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,149,1,71-92,"O. Meyerhof, R. Junowicz-Kocholaty",en
92,44LIP,,10.1016/S0021-9258(18)43172-9,,['ENZYMATIC SYNTHESIS OF ACETYL PHOSPHATE'],5.1.2021,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,155,1,55-70,Fritz Lipmann,en
93,45DAR,,10.1111/j.1748-1716.1945.tb00300.x,,['Kinetic and Thermodynamic Investigations on the Transamination Process'],9.12.2008,Wiley,http://onlinelibrary.wiley.com/termsAndConditions#vor,journal-article,10,2,150-161,SVEN DARLING,en
94,45DRA/MEY,,10.1016/S0021-9258(18)51091-7,,['A SPECTROPHOTOMETRIC STUDY OF THE OXIDATION AND PHOSPHORYLATION OF d-GLYCERALDEHYDE 3-PHOSPHATE'],5.1.2021,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,157,2,571-583,"David L. Drabkin, Otto Meyerhof",en
95,45GRE/LEL,21006939.0,10.1016/S0021-9258(17)41491-8,,['TRANSAMINASES'],5.1.2021,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,161,2,559-582,"D.E. Green, Luis F. Leloir, V. Nocito",en
96,45OHL,,10.1515/bchm2.1947.282.1-2.37,,-,-,-,-,-,-,-,-,-,-
97,46OHL,,10.1515/zna-1946-0108,appears in part 3 and in part 4,['Wärmemessung bei Fermentreaktionen'],24.9.2019,Walter de Gruyter GmbH,http://creativecommons.org/licenses/by-nc-nd/3.0/,journal-article,1,1,30-35,Paul Ohlmeyer,en
98,46OHL2,,10.1515/zna-1946-0107,appears in part 3,['Über Phosphatase'],11.6.2020,Walter de Gruyter GmbH,http://creativecommons.org/licenses/by-nc-nd/3.0/,journal-article,1,1,18-30,Paul Ohlmeyer,en
99,47BUC,,10.1016/0006-3002(47)90143-1,,-,-,-,-,-,-,-,-,-,-
100,47KAL,20285041.0,10.1016/S0021-9258(17)30999-7,,['DIFFERENTIAL SPECTROPHOTOMETRY OF PURINE COMPOUNDS BY MEANS OF SPECIFIC ENZYMES'],18.1.2021,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,167,2,461-475,Herman M. Kalckar,en
101,47MEY/OES,,10.1016/S0021-9258(17)34929-3,,['THE MECHANISM OF THE OXIDATIVE REACTION IN FERMENTATION'],18.1.2021,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,170,1,1-22,"Otto Meyerhof, Peter Oesper",en
102,48KOR,18098602.0,10.1016/S0021-9258(18)57167-2,,['THE PARTICIPATION OF INORGANIC PYROPHOSPHATE IN THE REVERSIBLE ENZYMATIC SYNTHESIS OF DIPHOSPHOPYRIDINE NUCLEOTIDE'],5.1.2021,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,176,3,1475-1476,Arthur. Kornberg,en
103,48OCH,18914071.0,10.1016/S0021-9258(18)57383-X,,['BIOSYNTHESIS OF TRICARBOXYLIC ACIDS BY CARBON DIOXIDE FIXATION'],5.1.2021,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,174,1,133-157,Severo Ochoa,en
104,48SCO/POW,18909182.0,10.1021/ja01183a070,,-,-,-,-,-,-,-,-,-,-
105,48SOR/DEG,,,,-,-,-,-,-,-,-,-,-,-
106,49BAR,18135786.0,10.1016/S0021-9258(18)56670-9,,['CRYSTALLINE GLYCEROPHOSPHATE DEHYDROGENASE FROM RABBIT MUSCLE'],5.1.2021,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,180,2,535-541,Tadeusz. Baranowski,en
107,49HES,18135821.0,10.1016/S0021-9258(18)56708-9,,['ACYLATION REACTIONS MEDIATED BY PURIFIED ACETYLCHOLINE ESTERASE'],5.1.2021,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,180,2,879-881,Shlomo. Hestrin,en
108,49MEY/GRE,18116987.0,10.1016/S0021-9258(18)56882-4,,['SYNTHETIC ACTION OF PHOSPHATASE'],5.1.2021,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,178,2,655-667,"Otto. Meyerhof, Harry. Green",en
109,49MEY/OES,18134595.0,10.1016/S0021-9258(18)56800-9,,['THE ENZYMATIC EQUILIBRIA OF PHOSPHO(ENOL)PYRUVATE'],5.1.2021,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,179,3,1371-1385,"Otto. Meyerhof, Peter. Oesper",en
110,49SOR/DVO,,,,-,-,-,-,-,-,-,-,-,-
111,50COR/VEL,,10.1016/0006-3002(50)90020-5,,-,-,-,-,-,-,-,-,-,-
112,50FRI,15428423.0,10.1016/S0021-9258(19)50973-5,,['DESOXYRIBOSE-1-PHOSPHATE'],6.1.2021,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,184,2,449-459,Morris Friedkin,en
113,50HES,,10.1016/0006-3002(50)90037-0,,-,-,-,-,-,-,-,-,-,-
114,50KOR,,10.1016/S0021-9258(18)56513-3,,['REVERSIBLE ENZYMATIC SYNTHESIS OF DIPHOSPHOPYRIDINE NUCLEOTIDE AND INORGANIC PYROPHOSPHATE'],5.1.2021,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,182,2,779-793,Arthur. Kornberg,en
115,50OES/MEY,15419792.0,,,-,-,-,-,-,-,-,-,-,-
116,50PAZ,,,,-,-,-,-,-,-,-,-,-,-
117,50RAC,15443900.0,10.1016/S0021-9258(19)51151-6,,"[""CRYSTALLINE ALCOHOL DEHYDROGENASE FROM BAKERS' YEAST""]",6.1.2021,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,184,1,313-319,E. Racker,en
118,50SLE,14794671.0,10.1016/S0021-9258(18)56269-4,,['PHOSPHOMANNOSE ISOMERASE'],5.1.2021,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,186,2,753-761,Milton W. Slein,en
119,51BLA,14858331.0,10.1042/bj0490257,,-,-,-,-,-,-,-,-,-,-
120,51BLI,14830226.0,10.1016/0003-9861(51)90206-8,,['The equilibrium between vitamin A alcohol and aldehyde in the presence of alcohol dehydrogenase'],26.11.2004,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,31,2,197-204,Alfred F. Bliss,en
121,51FRU/JOH,14841149.0,10.1016/S0021-9258(18)56043-9,,['ELONGATION OF PEPTIDE CHAINS IN ENZYME-CATALYZED TRANSAMIDATION REACTIONS'],5.1.2021,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,190,1,39-53,"Joseph S. Fruton, Robert B. Johnston, Melvin. Fried",en
122,51KOR,,,,-,-,-,-,-,-,-,-,-,-
123,51ROW/KOR,14907738.0,10.1016/S0021-9258(18)50905-4,,['THE PHOSPHOROLYSIS OF NICOTINAMIDE RIBOSIDE'],5.1.2021,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,193,2,497-507,"John W. Rowen, Arthur Kornberg",en
124,51THE/BON,,10.3891/acta.chem.scand.05-1105,,-,-,-,-,-,-,-,-,-,-
125,51WOO/GUN,14841188.0,10.1016/S0021-9258(18)56082-8,,['d-ALANINE FORMATION: A RACEMASE IN STREPTOCOCCUS FAECALIS'],5.1.2021,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,190,1,403-416,"W.A. Wood, I.C. Gunsalus",en
126,52ASK,,,,-,-,-,-,-,-,-,-,-,-
127,52BAU/GEM,14915545.0,10.1016/s0003-9861(52)80055-4,,['The heat produced by the enzymatic action of the sucrose-invertase and urea-urease systems'],7.7.2006,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,35,1,110-120,"C.R. Bauer, C.L. Gemmill",en
128,52BUR,,10.1016/0006-3002(52)90020-6,,-,-,-,-,-,-,-,-,-,-
129,52DOB/FRU,14938363.0,10.1016/S0021-9258(19)50883-3,,['THERMODYNAMICS OF HYDROLYSIS OF PEPTIDE BONDS'],6.1.2021,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,195,1,149-154,"Alan Dobry, Joseph S. Fruton, Julian M. Sturtevant",en
130,52DOB/STU,14938362.0,10.1016/S0021-9258(19)50882-1,,['HEATS OF HYDROLYSIS OF AMIDE AND PEPTIDE BONDS'],6.1.2021,Elsevier BV,https://www.elsevier.com/tdm/userlicense/1.0/,journal-article,195,1,141-147,"Alan Dobry, Julian M. Sturtevant",en
131,52EGG/HEM,13018181.0,10.1042/bj0520156,,-,-,-,-,-,-,-,-,-,-
